substrate,creole,pair,area
Cantonese,Patua Macau,Cantonese-Patua Macau,Southeast Asia
Edo,Principense,Edo-Principense,Gulf of Guinea
Edo,Santome,Edo-Santome,Gulf of Guinea
Edo,Fa d'Ambo,Edo-Fa dAmbô,Gulf of Guinea
Edo,Angolar,Edo-Angolar,Gulf of Guinea
Gujarati,Diu,Gujarati-Diu,Northern India
Gujarati,Daman,Gujarati - Daman,Northern India
Hokkien Chinese,Papia Kristang,Hokkien Chinese-Papiá Kristang,Southeast Asia
Kikongo,Principense,Kikongo-Principense,Gulf of Guinea
Kikongo,Santome,Kikongo-Santome,Gulf of Guinea
Kikongo,Fa d'Ambo,Kikongo- Fa dAmbô,Gulf of Guinea
Kikongo,Angolar,Kikongo- Angolar,Gulf of Guinea
Kimbundu,Principense,Kimbundu- Principense,Gulf of Guinea
Kimbundu,Santome,Kimbundu- Santome,Gulf of Guinea
Kimbundu,Fa d'Ambo,Kimbundu- Fa dAmbô,Gulf of Guinea
Kimbundu,Angolar,Kimbundu- Angolar,Gulf of Guinea
Larantuka Malay,Timor Pidgin,Larantuka Malay- Timor creole,Southeast Asia
Malayalam,Kannur,Malayalam- Kannur,Southern India
Mandinka,Cape Verdean Brava,Mandinka-Cape Verdean Brava,Upper Guinea
Mandinka,Cape Verdean Fogo,Mandinka- Cape Verdean Fogo,Upper Guinea
Mandinka,Cape Verdean Santiago,Mandinka- Cape Verdean Santiago,Upper Guinea
Mandinka,Cape Verdean Santo Antao,Mandinka- Cape Verdean Santo Antão,Upper Guinea
Mandinka,Cape Verdean Sao Vicente,Mandinka- Cape Verdean São Vicente,Upper Guinea
Marathi,Korlai,Marathi- Korlai,Northern India
Sinhala,Sri Lanka Portuguese,Sinhala- Sri Lanka,Southern India
Standard Malay,Papia Kristang,Standard Malay- Papiá Kristang,Southeast Asia
Tamil,Sri Lanka Portuguese,Tamil- Sri Lanka,Southern India
Temne,Cape Verdean Brava,Temne- Cape Verdean Brava,Upper Guinea
Temne,Cape Verdean Fogo,Temne- Cape Verdean Fogo,Upper Guinea
Temne,Cape Verdean Santiago,Temne- Cape Verdean Santiago,Upper Guinea
Temne,Cape Verdean Santo Antao,Temne- Cape Verdean Santo Antão,Upper Guinea
Temne,Cape Verdean Sao Vicente,Temne- Cape Verdean São Vicente,Upper Guinea
Tetum,Timor Pidgin,Tetum- Timor creole,Southeast Asia
Wolof,Cape Verdean Brava,Wolof- Cape Verdean Brava,Upper Guinea
Wolof,Cape Verdean Fogo,Wolof- Cape Verdean Fogo,Upper Guinea
Wolof,Cape Verdean Santiago,Wolof- Cape Verdean Santiago,Upper Guinea
Wolof,Cape Verdean Santo Antao,Wolof- Cape Verdean Santo Antão,Upper Guinea
Wolof,Cape Verdean Sao Vicente,Wolof- Cape Verdean São Vicente,Upper Guinea
